District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
261,NAGALAND,250260,131753,118507,119626,67432,52194,0,238285,147654,79425,68229,104981,42673,102606,8102,3444,236494,84,1256,314,1080,14398,178,2844,43607,7415,51022,127058,130529,257587,168773,53600,27437,2148,1007,1571,13012,5647,28073,27663,Nagaland,Mon,26.69207374301676,95.03072988826828,899.4633898279357,47.80068728522337
262,NAGALAND,194622,101092,93530,159494,83479,76015,0,178431,100067,57084,42983,81046,19021,94555,9840,2057,181847,78,442,66,7236,40154,537,2728,37536,17742,55278,169448,22555,192003,111243,52853,30363,2132,3805,5184,22667,20192,41293,41057,Nagaland,Mokokchung,26.478911764705888,94.522426006192,925.1968503937009,81.95065306080505
263,NAGALAND,140757,71217,69540,102881,53504,49377,0,136561,79466,41178,38288,49382,30084,61291,2580,772,136995,39,286,6,1433,28846,261,2008,31267,6044,37311,115295,25988,141283,91709,32267,16730,713,2258,1033,15491,9954,26285,22868,Nagaland,Zunheboto,26.028178205128206,94.50026666666668,976.4522515691478,73.09121393607423
264,NAGALAND,166343,84505,81838,128208,67385,60823,0,156621,78412,42096,36316,63512,14900,87931,5605,2043,158236,34,318,8,3228,25268,198,1757,38499,8170,46669,131916,25048,156964,106951,40510,18811,2907,1592,1713,14850,10923,29411,22108,Nagaland,Wokha,26.202611551155112,94.1990815181518,968.4397372936513,77.07447863751405
265,NAGALAND,378811,197394,181417,278037,150142,127895,0,223989,151350,99645,51705,122358,28992,227461,108900,31212,234239,566,1270,2148,42378,71413,3303,12077,49116,62853,111969,277956,58926,336882,243392,98601,36618,18820,10008,10821,60055,50453,69407,72398,Nagaland,Dimapur,25.814176811594223,93.75074057971014,919.0603564444715,73.39728782955089
266,NAGALAND,163418,83743,79675,105893,57926,47967,0,157146,80277,41556,38721,63645,16632,83141,3563,950,158224,31,350,17,2073,36182,170,1558,38903,7295,46198,112110,44456,156566,108514,37842,16969,549,1780,838,17005,9553,29897,29489,Nagaland,Phek,25.63272986577182,94.56814563758392,951.4228054882199,64.79885936677722
267,NAGALAND,196596,101933,94663,117511,63653,53858,0,190916,98154,52931,45223,73518,24636,98442,2979,1052,191864,27,572,5,773,24998,155,2251,40690,9451,50141,127913,66450,194363,134573,43210,18762,355,1063,738,13878,7687,30295,22080,Nagaland,Tuensang,26.21104453280316,94.85809880715708,928.6786418529819,59.77283362835459
270,NAGALAND,267988,138966,129022,197489,107038,90451,0,224738,114825,68140,46685,99408,15417,153163,25496,4384,234955,998,1519,80,20712,50724,1928,7982,31845,44255,76100,201718,45802,247520,173701,68485,25557,1472,8428,2011,38531,29077,43001,37427,Nagaland,Kohima,25.60311428571428,93.78600657596373,928.4429284861045,73.69322506977925
272,MANIPUR,479148,247323,231825,264477,148012,116465,1000,419210,233622,124143,109479,185725,47897,245526,43833,1649,426819,140,2409,53,2430,22798,256,2170,38008,1826,39834,347896,191001,538897,314439,111516,52008,6761,827,1603,13568,9623,16321,29985,Manipur,Senapati,25.08465586034914,94.03366234413956,937.3370046457467,55.19735029677678
273,MANIPUR,140651,72371,68280,85006,47403,37603,22,134626,70675,37237,33438,55979,14696,69976,2995,589,134760,59,425,57,1229,11541,125,1362,23982,4119,28101,103294,45317,148611,90273,33290,16924,826,495,723,6037,5233,10189,17284,Manipur,Tamenglong,24.98312942238265,93.49450740072204,943.4718326401459,60.43753688206981
